Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5
2024-02-27 15:16:27,166,163,167,201,202
2024-02-27 15:16:27,161,196,194,157,128
2024-02-27 15:16:27,127,166,161,132,170
2024-02-27 15:16:27,153,160,163,201,160
2024-02-27 15:16:27,195,204,166,201,154
2024-02-27 15:16:27,128,178,134,149,149
2024-02-27 15:16:27,164,201,148,209,134
2024-02-27 15:16:27,197,173,156,173,125
2024-02-27 15:16:27,119,147,206,214,164
2024-02-27 15:16:27,155,195,167,216,213
2024-02-27 15:16:27,176,168,176,193,170
2024-02-27 15:16:27,130,169,134,184,205
2024-02-27 15:16:27,207,157,186,129,144
2024-02-27 15:16:27,183,191,162,119,123
2024-02-27 15:16:27,136,212,170,178,161
2024-02-27 15:16:27,212,124,115,174,186
2024-02-27 15:16:27,161,210,220,211,123
2024-02-27 15:16:27,208,219,186,169,112
2024-02-27 15:16:27,160,210,206,123,183
2024-02-27 15:16:27,208,135,135,184,135
2024-02-27 15:16:27,203,167,183,146,121
2024-02-27 15:16:27,166,99,110,125,166
2024-02-27 15:16:27,152,172,165,126,107
2024-02-27 15:16:27,134,200,192,134,163
2024-02-27 15:16:27,157,129,197,144,97
2024-02-27 15:16:27,154,98,160,145,131
2024-02-27 15:16:27,159,144,154,133,100
2024-02-27 15:16:27,169,129,163,133,187
2024-02-27 15:16:27,134,118,158,152,125
2024-02-27 15:16:27,99,133,119,86,99
2024-02-27 15:16:27,132,127,129,104,140
2024-02-27 15:16:27,170,106,153,120,120
2024-02-27 15:16:27,135,116,150,136,108
2024-02-27 15:16:27,139,132,105,139,144
2024-02-27 15:16:27,152,122,112,142,164
2024-02-27 15:16:27,142,137,115,143,158
2024-02-27 15:16:27,108,112,129,105,117
2024-02-27 15:16:27,126,116,134,133,139
2024-02-27 15:16:27,132,125,125,124,120
2024-02-27 15:16:27,125,126,124,126,125
2024-02-27 15:16:27,128,127,127,127,127
2024-02-27 15:16:27,127,121,126,130,128
2024-02-27 15:16:27,122,119,126,131,118
2024-02-27 15:16:27,124,130,144,130,133
2024-02-27 15:16:27,118,152,122,142,121
2024-02-27 15:16:27,109,100,145,145,111
2024-02-27 15:16:27,114,114,101,114,114
2024-02-27 15:16:27,101,119,97,120,150
2024-02-27 15:16:27,92,131,138,110,93
2024-02-27 15:16:27,116,119,119,158,149
2024-02-27 15:16:27,151,85,97,85,72
2024-02-27 15:16:27,155,98,100,94,87
2024-02-27 15:16:27,155,120,62,63,119
